id;address;categories;city;country;keys;menus.amountMax;menus.amountMin;menus.currency;menus.description;menus.name;name;review_overall;priceRangeCurrency;priceRangeMin;priceRangeMax;province
AVwc14fe_7pvs4fzzh-i;19 Kelly St;Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurants,Pizza;Luzerne;US;us/pa/luzerne/19kellyst/-1524403970;13.95;13.95;USD;Mild or hot;Chicken Wing Pizza;Salerno's Pizza Restaurant;4;;;;PA
AVwc14fe_7pvs4fzzh-i;19 Kelly St;Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurants,Pizza;Luzerne;US;us/pa/luzerne/19kellyst/-1524403970;9.95;9.95;USD;;Neapolitan Style Pizza;Salerno's Pizza Restaurant;4;;;;PA
AVwc16D3_7pvs4fzziP1;111 Lawrence Rd;Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant;Lawrence Township;US;us/lawrenceville/lawrencetownship/111lawrencerd/1913172165;19.95;19.95;USD;;Blt Pizza;Nino's Trattoria & Pizzeria;3.5;;;;Lawrenceville
AVwc16D3_7pvs4fzziP1;111 Lawrence Rd;Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant;Lawrence Township;US;us/lawrenceville/lawrencetownship/111lawrencerd/1913172165;11.95;11.95;USD;;Cheese Pizza;Nino's Trattoria & Pizzeria;4;;;;Lawrenceville
AVwc16D3_7pvs4fzziP1;111 Lawrence Rd;Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant;Lawrence Township;US;us/lawrenceville/lawrencetownship/111lawrencerd/1913172165;11.95;11.95;USD;Classic cheese or create your own pizza.;Cheese Pizza;Nino's Trattoria & Pizzeria;4;;;;Lawrenceville
AVwc16D3_7pvs4fzziP1;111 Lawrence Rd;Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant;Lawrence Township;US;us/lawrenceville/lawrencetownship/111lawrencerd/1913172165;2;2;USD;;Cheese Pizza Slice;Nino's Trattoria & Pizzeria;3.5;;;;Lawrenceville
AVwc16D3_7pvs4fzziP1;111 Lawrence Rd;Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant;Lawrence Township;US;us/lawrenceville/lawrencetownship/111lawrencerd/1913172165;22.95;22.95;USD;;Cheesesteak Stuffed Cheese Pizza;Nino's Trattoria & Pizzeria;4.5;;;;Lawrenceville
AVwc16D3_7pvs4fzziP1;111 Lawrence Rd;Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant;Lawrence Township;US;us/lawrenceville/lawrencetownship/111lawrencerd/1913172165;22.95;22.95;USD;With beef or chicken in double crust pizza.;Cheesesteak Stuffed Cheese Pizza;Nino's Trattoria & Pizzeria;4.5;;;;Lawrenceville
AVwc16D3_7pvs4fzziP1;111 Lawrence Rd;Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant;Lawrence Township;US;us/lawrenceville/lawrencetownship/111lawrencerd/1913172165;19.95;19.95;USD;;Chicken Alfredo Pizza;Nino's Trattoria & Pizzeria;5;;;;Lawrenceville
AVwc16D3_7pvs4fzziP1;111 Lawrence Rd;Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant;Lawrence Township;US;us/lawrenceville/lawrencetownship/111lawrencerd/1913172165;19.95;19.95;USD;;Chicken Parmigiana Pizza;Nino's Trattoria & Pizzeria;5;;;;Lawrenceville
